,type,bedrooms,bathrooms,nearest_station,address,price,postcode,size_imputed,source,lat,long,ages_0_15,ages_16_29,ages_30_44,ages_45_65,ages_66_plus,pop_density,couple_children_dependent,couple_children_nondependent,lone_parent,single,other_multi,owned_outright,owned_mortgage,rented_social,rented_private,usual_residents,nonusual_residents,house_detached,house_semidetached,house_terraced,flat,economic_inactive,employee,self-employed,unemployed,student,unqualified,level_1,level_2,apprenticeship,level_3,level_4,other,good_health,fair_health,bad_health,public_transport_accessibility,mean_income
0,flat,3,2,0.4,"Hillbrow Road, Bromley BR1",2000,BR1,1058.3333333333333,zoopla,51.41073151928615,0.0194153100289296,0.2001969154728532,0.1844319943220864,0.2668250030309209,0.2061209331814152,0.1424251539927295,53.1099324975892,0.1777844744455131,0.2473736740597921,0.1232883317261341,0.3571865959498496,0.0946817743490835,0.2425694310511118,0.315329315332695,0.1950597878495669,0.2254561234329757,0.939112343297956,0.060887656702025,0.1139609450337541,0.1633751205400133,0.2052145612343258,0.5174156219864928,0.2514313978829702,0.5576353948227887,0.1172654568782481,0.0497017894055202,0.0239659610104774,0.1675371263259397,0.1180530376084855,0.1412854387656691,0.0162367405978782,0.1168886210221784,0.3754185149469687,0.0641692381870796,0.8347135969141966,0.1189850530376096,0.0466615236258431,4.166875602700112,47394.31967213115
1,terraced house,3,1,0.1,"Hillcrest Road, Bromley BR1",1950,BR1,1058.3333333333333,zoopla,51.41073151928615,0.0194153100289296,0.2001969154728532,0.1844319943220864,0.2668250030309209,0.2061209331814152,0.1424251539927295,53.1099324975892,0.1777844744455131,0.2473736740597921,0.1232883317261341,0.3571865959498496,0.0946817743490835,0.2425694310511118,0.315329315332695,0.1950597878495669,0.2254561234329757,0.939112343297956,0.060887656702025,0.1139609450337541,0.1633751205400133,0.2052145612343258,0.5174156219864928,0.2514313978829702,0.5576353948227887,0.1172654568782481,0.0497017894055202,0.0239659610104774,0.1675371263259397,0.1180530376084855,0.1412854387656691,0.0162367405978782,0.1168886210221784,0.3754185149469687,0.0641692381870796,0.8347135969141966,0.1189850530376096,0.0466615236258431,4.166875602700112,47394.31967213115
2,flat,3,2,0.0,"Lansdowne Road, Bromley BR1",1750,BR1,1058.3333333333333,zoopla,51.41073151928615,0.0194153100289296,0.2001969154728532,0.1844319943220864,0.2668250030309209,0.2061209331814152,0.1424251539927295,53.1099324975892,0.1777844744455131,0.2473736740597921,0.1232883317261341,0.3571865959498496,0.0946817743490835,0.2425694310511118,0.315329315332695,0.1950597878495669,0.2254561234329757,0.939112343297956,0.060887656702025,0.1139609450337541,0.1633751205400133,0.2052145612343258,0.5174156219864928,0.2514313978829702,0.5576353948227887,0.1172654568782481,0.0497017894055202,0.0239659610104774,0.1675371263259397,0.1180530376084855,0.1412854387656691,0.0162367405978782,0.1168886210221784,0.3754185149469687,0.0641692381870796,0.8347135969141966,0.1189850530376096,0.0466615236258431,4.166875602700112,47394.31967213115
3,flat,2,2,0.2,"Maxim Apartments, Wheeler Place, Bromley BR2",1500,BR2,1058.3333333333333,zoopla,51.39036686243751,0.0216512437633642,0.1955332128779358,0.1627960706987886,0.2308005336610664,0.2426024331626866,0.1682677495995269,40.64504632929437,0.2041639344262311,0.2962808267997133,0.1039465431218814,0.3233784746970789,0.0723456878118321,0.3321874554526016,0.3644647184604436,0.1161140413399858,0.1692608695652164,0.9505388453314276,0.0494611546685676,0.1749650748396292,0.2783022095509617,0.1602309337134688,0.3837341411261564,0.2583241114847368,0.5516377332877097,0.1287518179884917,0.0389095603226671,0.0223767769163923,0.1553014967925874,0.1292487526728435,0.1585759087669265,0.0246015680684245,0.1185281539558097,0.362727013542411,0.0507662152530287,0.8525509622238023,0.1103749109052036,0.0372409123307199,3.3823235923022223,52311.47540983607
4,flat,2,1,0.1,Elmers End Road Beckenham BR3,1350,BR3,861.7763713080169,rightmove,51.4034316146143,-0.0316866537726839,0.1770868405426474,0.154993339439272,0.2497267591779937,0.2530145713479823,0.1651784894921153,46.81661891117479,0.186628939828078,0.2840105062082066,0.0995563514804211,0.366548710601731,0.0631260744985669,0.3094149952244593,0.3694851957975073,0.1257960840496667,0.177567812798476,0.967749283667643,0.0322507163323786,0.1137430754536748,0.1990262655205352,0.280843361986629,0.4064192932187175,0.2498216184161797,0.57557543833589,0.1186833681878343,0.0364140785345769,0.0195054965255217,0.1615281757402097,0.1226365807067808,0.1479746895893049,0.0217292263610309,0.1152860553963692,0.3801423113658029,0.0508381088825236,0.8467884431709769,0.1128529130850063,0.0403319006685761,3.314851957975149,52835.36485195797
5,flat,2,1,0.1,Elmers End Road Beckenham BR3,1350,BR3,861.7763713080169,rightmove,51.4034316146143,-0.0316866537726839,0.1770868405426474,0.154993339439272,0.2497267591779937,0.2530145713479823,0.1651784894921153,46.81661891117479,0.186628939828078,0.2840105062082066,0.0995563514804211,0.366548710601731,0.0631260744985669,0.3094149952244593,0.3694851957975073,0.1257960840496667,0.177567812798476,0.967749283667643,0.0322507163323786,0.1137430754536748,0.1990262655205352,0.280843361986629,0.4064192932187175,0.2498216184161797,0.57557543833589,0.1186833681878343,0.0364140785345769,0.0195054965255217,0.1615281757402097,0.1226365807067808,0.1479746895893049,0.0217292263610309,0.1152860553963692,0.3801423113658029,0.0508381088825236,0.8467884431709769,0.1128529130850063,0.0403319006685761,3.314851957975149,52835.36485195797
6,flat,2,1,0.1,"Elmers End Road, Beckenham BR3",1350,BR3,1058.3333333333333,zoopla,51.4034316146143,-0.0316866537726839,0.1770868405426474,0.154993339439272,0.2497267591779937,0.2530145713479823,0.1651784894921153,46.81661891117479,0.186628939828078,0.2840105062082066,0.0995563514804211,0.366548710601731,0.0631260744985669,0.3094149952244593,0.3694851957975073,0.1257960840496667,0.177567812798476,0.967749283667643,0.0322507163323786,0.1137430754536748,0.1990262655205352,0.280843361986629,0.4064192932187175,0.2498216184161797,0.57557543833589,0.1186833681878343,0.0364140785345769,0.0195054965255217,0.1615281757402097,0.1226365807067808,0.1479746895893049,0.0217292263610309,0.1152860553963692,0.3801423113658029,0.0508381088825236,0.8467884431709769,0.1128529130850063,0.0403319006685761,3.314851957975149,52835.36485195797
7,flat,2,1,0.1,"Elmers End Road, Beckenham BR3",1350,BR3,1058.3333333333333,zoopla,51.4034316146143,-0.0316866537726839,0.1770868405426474,0.154993339439272,0.2497267591779937,0.2530145713479823,0.1651784894921153,46.81661891117479,0.186628939828078,0.2840105062082066,0.0995563514804211,0.366548710601731,0.0631260744985669,0.3094149952244593,0.3694851957975073,0.1257960840496667,0.177567812798476,0.967749283667643,0.0322507163323786,0.1137430754536748,0.1990262655205352,0.280843361986629,0.4064192932187175,0.2498216184161797,0.57557543833589,0.1186833681878343,0.0364140785345769,0.0195054965255217,0.1615281757402097,0.1226365807067808,0.1479746895893049,0.0217292263610309,0.1152860553963692,0.3801423113658029,0.0508381088825236,0.8467884431709769,0.1128529130850063,0.0403319006685761,3.314851957975149,52835.36485195797
8,flat,1,1,0.1,"Albemarle Road, Beckenham BR3",1100,BR3,1058.3333333333333,zoopla,51.4034316146143,-0.0316866537726839,0.1770868405426474,0.154993339439272,0.2497267591779937,0.2530145713479823,0.1651784894921153,46.81661891117479,0.186628939828078,0.2840105062082066,0.0995563514804211,0.366548710601731,0.0631260744985669,0.3094149952244593,0.3694851957975073,0.1257960840496667,0.177567812798476,0.967749283667643,0.0322507163323786,0.1137430754536748,0.1990262655205352,0.280843361986629,0.4064192932187175,0.2498216184161797,0.57557543833589,0.1186833681878343,0.0364140785345769,0.0195054965255217,0.1615281757402097,0.1226365807067808,0.1479746895893049,0.0217292263610309,0.1152860553963692,0.3801423113658029,0.0508381088825236,0.8467884431709769,0.1128529130850063,0.0403319006685761,3.314851957975149,52835.36485195797
9,flat,2,1,0.1,"Hurst Court, Southend Road, Beckenham BR3",1250,BR3,1058.3333333333333,zoopla,51.4034316146143,-0.0316866537726839,0.1770868405426474,0.154993339439272,0.2497267591779937,0.2530145713479823,0.1651784894921153,46.81661891117479,0.186628939828078,0.2840105062082066,0.0995563514804211,0.366548710601731,0.0631260744985669,0.3094149952244593,0.3694851957975073,0.1257960840496667,0.177567812798476,0.967749283667643,0.0322507163323786,0.1137430754536748,0.1990262655205352,0.280843361986629,0.4064192932187175,0.2498216184161797,0.57557543833589,0.1186833681878343,0.0364140785345769,0.0195054965255217,0.1615281757402097,0.1226365807067808,0.1479746895893049,0.0217292263610309,0.1152860553963692,0.3801423113658029,0.0508381088825236,0.8467884431709769,0.1128529130850063,0.0403319006685761,3.314851957975149,52835.36485195797
