,type,bedrooms,bathrooms,nearest_station,address,price,postcode,size_imputed
385,detached house,5,3,0.2,"Old Park Avenue, London SW12",8250,SW12,1058.3333333333333
386,flat,2,1,0.2,"Swan Street, Borough, London SE1",2145,SE1,736
387,flat,2,2,0.3,"Grand Union, Beresford Avenue, London HA0",1950,HA0,810
388,flat,1,1,0.1,"Thomas Layton Way, Brentford TW8",1795,TW8,1058.3333333333333
389,flat,1,1,0.1,"Camden Road, Camden NW1",1560,NW1,1058.3333333333333
390,flat,2,3,0.2,"Central Avenue, London SW6",4291,SW6,1058.3333333333333
391,end terrace house,3,2,0.1,"Rugby Road, London NW9",1950,NW9,1058.3333333333333
392,flat,2,1,0.2,"Elmfield Road, East Finchley N2",1400,N2,1058.3333333333333
393,flat,2,1,0.1,"Headstone Lane, Harrow HA2",1350,HA2,1058.3333333333333
394,flat,3,2,0.2,"Hutchings Wharf, Canary Wharf E14",3163,E14,1456
395,flat,2,2,0.1,"The Grange, London, London SE1",2817,SE1,867
396,maisonette,2,1,0.2,"Tramway Avenue, Stratford E15",1750,E15,1058.3333333333333
397,flat,1,1,0.1,"Camden Road, London NW1",1560,NW1,1058.3333333333333
398,flat,1,1,0.2,"Burlington Road, New Malden KT3",1300,KT3,1058.3333333333333
399,flat,2,1,0.2,"Burlington Road, New Malden KT3",1550,KT3,1058.3333333333333
400,maisonette,3,2,0.1,"Mylne Close, Upper Mall, London W6",2900,W6,1058.3333333333333
401,flat,3,2,0.3,"Greenford Quay, Greenford UB6",2650,UB6,1058.3333333333333
402,flat,2,2,0.3,"Eastbury Avenue, Northwood HA6",1950,HA6,1058.3333333333333
403,flat,1,1,0.1,"High Point Village, Vantage Building, Hayes UB3",1250,UB3,1058.3333333333333
404,flat,2,2,0.3,"Greenford Quay, Greenford UB6",2200,UB6,1058.3333333333333
405,flat,2,2,0.1,"Burton Road, London NW6",2097,NW6,1058.3333333333333
406,flat,2,1,0.1,"Sheldon Avenue, Highgate N6",2300,N6,872
407,flat,1,1,0.3,"Greenford Quay, Greenford UB6",1554,UB6,1058.3333333333333
408,flat,1,1,0.1,"55 Park Lane, Mayfair W1K",3000,W1K,787
409,flat,2,2,0.1,"Kew Bridge Court, London W4",1945,W4,1058.3333333333333
410,flat,2,2,0.1,"George Street, Croydon CR0",2081,CR0,1058.3333333333333
411,detached house,4,1,0.3,"Cranbourne Drive, Pinner HA5",2600,HA5,1574
412,flat,3,2,0.3,"Lea Bridge Road, London E10",1800,E10,1058.3333333333333
413,flat,1,2,0.1,"Clarendon Court, Maida Vale, Madia Vale W9",2253,W9,1058.3333333333333
414,flat,1,1,0.2,"Rosaline Road, Fulham SW6",1995,SW6,1058.3333333333333
415,flat,3,2,0.2,"Beechcroft Avenue, London NW11",2800,NW11,1058.3333333333333
416,flat,2,2,0.1,"Regatta Point, Kew Bridge TW8",2750,TW8,1058.3333333333333
417,flat,2,2,0.2,"Coleman Fields, London N1",2500,N1,978
418,flat,1,1,0.1,"Belgravia House, 238 Kingston Road, Teddington TW11",1400,TW11,1058.3333333333333
419,flat,2,1,0.1,"Putney Hill, London SW15",1950,SW15,1058.3333333333333
420,maisonette,3,1,0.3,"Higher Drive, Purley CR8",1450,CR8,1058.3333333333333
421,flat,1,1,0.1,"Oak House, 52 Holmesdale Road, Teddington TW11",1400,TW11,1058.3333333333333
422,flat,4,2,0.1,"Finchley Road, St Johns Wood, London NW8",5308,NW8,1058.3333333333333
423,flat,1,1,0.1,"Selbourne Avenue, Hounslow TW3",1450,TW3,1058.3333333333333
424,flat,2,2,0.0,"Binney Street, Mayfair, London W1K",9100,W1K,1058.3333333333333
425,flat,2,1,0.2,"Upper Grosvenor Street, London W1K",3012,W1K,631
426,flat,1,1,0.2,"Median Road, Clapton E5",1300,E5,1058.3333333333333
427,flat,5,4,0.1,"Boydell Court, St. Johns Wood Park, London NW8",8645,NW8,1058.3333333333333
428,flat,1,1,0.1,"Bowden House, Price Of Wales Drive, Battersea SW11",2500,SW11,1058.3333333333333
429,flat,2,1,0.1,"Hermon Hill, London E11",1650,E11,1058.3333333333333
430,flat,2,2,0.1,"The Compton, 30 Lodge Road, London NW8",4983,NW8,1058.3333333333333
431,flat,2,1,0.3,"Fairweather House, Parkhurst Road, London N7",1750,N7,428
432,terraced house,6,4,0.2,"Earlsfield Road, London SW18",8000,SW18,1058.3333333333333
433,flat,3,1,0.3,"Moore House, Grosvenor Waterside, 2 Gatliff Road, London SW1W",5417,SW1W,1093
434,flat,2,2,0.1,"Arla Place, Ruislip HA4",1500,HA4,1058.3333333333333
435,terraced house,3,1,0.1,"Carlton Road, London E11",1700,E11,1058.3333333333333
436,flat,2,2,0.1,"Young Street, Kensington, London W8",5503,W8,1058.3333333333333
437,flat,2,2,0.1,"Rainville Road, Fulham, London W6",4983,W6,1058.3333333333333
438,flat,2,2,0.1,"Rainville Road, Fulham, London W6",5525,W6,1058.3333333333333
439,flat,4,3,0.0,"Cranley Mansions, Gloucester Road, London SW7",19933,SW7,1058.3333333333333
